Symbol,Status,Records Downloaded
AAPL,Success,7554
NVDA,Success,6472
MSFT,Success,7554
GOOGL,Success,5071
GOOG,Success,5071
AMZN,Success,6897
META,Success,3119
VOO,Success,3546
BRK-A,Success,7554
BRK-B,Success,7154
AVGO,Success,3821
LLY,Success,7554
TSM,Success,6796
TSLA,Success,3596
WMT,Success,7554
JPM,Success,7554
VTI,Success,5878
UNH,Success,7554
V,Success,4170
XOM,Success,7554
SPY,Success,7554
NVO,Success,7554
IVV,Success,6137
ORCL,Success,7554
VXUS,Success,3448
MA,Success,4626
HD,Success,7554
PG,Success,7554
COST,Success,7554
JNJ,Success,7554
ABBV,Success,2979
BND,Success,4408
ASML,Success,7446
MC.PA,Success,7681
NFLX,Success,5635
BAC,Success,7554
ASML.AS,Success,6750
KO,Success,7554
CRM,Success,5111
MRK,Success,7554
CVX,Success,7554
AMD,Success,7554
SAP,Success,7317
BABA,Success,2532
TMUS,Success,4401
AZN,Success,7554
PEP,Success,7554
RY.TO,Success,7478
TM,Success,7554
TMO,Success,7554
ACN,Success,5844
NVS,Success,7311
LIN,Success,7554
ADBE,Success,7554
RMS.PA,Success,7682
MCD,Success,7554
IBM,Success,7554
SHEL,Success,7554
CSCO,Success,7554
OR.PA,Success,7682
VB,Success,5210
VEA,Success,4333
MER-PK,Success,3312
GE,Success,7554
ABT,Success,7554
PDD,Success,1563
WFC,Success,7554
SHELL.AS,Success,7743
NOW,Success,3090
QQQ,Success,6440
DHR,Success,7554
CAT,Success,7554
AXP,Success,7554
QCOM,Success,7554
PM,Success,4172
TXN,Success,7554
VTV,Success,5210
VZ,Success,7554
MS,Success,7554
INTU,Success,7554
AMGN,Success,7554
ISRG,Success,6118
VO,Success,5210
RY,Success,7297
DIS,Success,7554
AMAT,Success,7554
NEE,Success,7554
PFE,Success,7554
UBER,Success,1365
RTX,Success,7554
HSBC,Success,6984
SPGI,Success,7554
GS,Success,6402
CMCSA,Success,7554
TTE,Success,7554
TBB,Success,1743
ARM,Success,270
TBC,Success,1554
LOW,Success,7554
UL,Success,7554
T,Success,7554
TD-PFI.TO,Success,1795
BHP,Success,7554
HDB,Success,5843
PGR,Success,7554
SHOP.TO,Success,2358
UNP,Success,7554
TTE.PA,Success,7682
BKNG,Success,6426
TD.TO,Success,7479
LMT,Success,7554
